sample_id,customer_text,gold_intent,predicted_intent,intent_confidence,retrieval_similarity,gold_escalate,predicted_escalate,gold_escalation_reason,error_type
4,@AmazonHelp You should GN,other_non_actionable,customer_service_complaint,0.1670090237841575,1.0,False,True,not_applicable,intent_misclassification
5,"@116928 Buenos días,tengo una pregunta. Por qué descuidáis o por qué no supervisáis antes las traducciones y los errores que puedan contener los libros en formato electrónico?Todos tienen errores.Los notificó y nadie contesta.",digital_content,device_technical,0.2473418213846688,1.0000000000000002,False,True,not_applicable,intent_misclassification
9,@115850 is just awesome. They solve my problem in 1 hour and also give a amazon pay gift.  Thank you @115850 @115823,customer_service_complaint,other_non_actionable,0.1562259248597529,0.9999999999999998,True,True,customer_service_complaint,intent_misclassification
10,"@AmazonHelp What repeat , what about my loses? It’s more than ₹4000",customer_service_complaint,subscription_prime,0.1141876941112783,1.0,True,True,customer_service_complaint,intent_misclassification
11,@AmazonHelp Thanks. Do check also why its taking more than 15 days to fix this. Can you cnfm this is not a virus issue? We must info ppl to be careful.,device_technical,account_security,0.2717302530718628,1.0,True,True,security_or_financial_risk,intent_misclassification
12,@AmazonHelp Yes I received an email saying it had been successfully changed but it still won’t work. I’ve tried logging into my other account and it works fine but for some reason this one won’t work?,account_security,other_non_actionable,0.1332416066964644,1.0000000000000002,True,True,high_risk_or_account_issue,intent_misclassification
13,"@115850 guys, bluedart is RIP in my area, I had to delegate and be the vent box for 30 pissed employees before I could get my cable, and that's when I was apologized to and assured that you will take care, GUESS WHAT? didn't happen :| why you do this fam.",order_delivery,customer_service_complaint,0.1265545844059537,1.0000000000000002,False,True,not_applicable,intent_misclassification
17,Dejad de sacarme el dinero @116928 😂😂❤️ https://t.co/uJY9phF0mV,subscription_prime,payment_billing,0.1754983088820002,1.0,False,True,not_applicable,intent_misclassification
18,"Estoy muy contento con @116928 y su velocidad de envío, productos que iban a llegar mañana y el jueves me llegan hoy.

No solo hay que publicar cuando estamos disconformes, excelente trabajo! #AmazonPrime 👏🏼👏🏼",order_delivery,product_order_issue,0.1563309481445559,1.0,False,True,not_applicable,intent_misclassification
22,@AmazonHelp It’s about 45 minutes to an hour away from me. Carrier is AMZL US,order_delivery,customer_service_complaint,0.1118827970646094,1.0,False,True,not_applicable,intent_misclassification
25,"@AmazonHelp It now says Monday but up until 30 mins/ an hour ago it said tomorrow
The emails say tomorrow
When I ordered it says tomorrow
I fully understand if you’re having transport issues but I should of been made aware at checkout that next day was not an option",order_delivery,account_security,0.3011255487098829,1.0,True,True,security_or_financial_risk,intent_misclassification
27,アマゾンプライム会員になっちゃった,subscription_prime,other_non_actionable,0.1189367552825832,0.0,False,True,not_applicable,intent_misclassification
29,"@AmazonHelp I ordered one device and gifted it to my friend, I have to buy one for me so I requested another invitation. it's now about a month. I didn't get any notification specifying that you are eligible to buy it or not.",product_order_issue,device_technical,0.2139237839577193,1.0000000000000002,False,True,not_applicable,intent_misclassification
34,@115830 where's the Arrow S5 box set on prime?,digital_content,subscription_prime,0.2443040935003169,1.0,False,True,not_applicable,intent_misclassification
35,"@313536 @115821 Had I realized, I wouldn't have ordered....so yaaaaa",product_order_issue,order_delivery,0.1162078651726462,1.0,False,True,not_applicable,intent_misclassification
36,"@AmazonHelp Yes, everything else streams fine. Just CBS is a problem.",digital_content,device_technical,0.122154082001197,1.0,False,True,not_applicable,intent_misclassification
