sample_id,customer_text,gold_intent,predicted_intent,intent_confidence,retrieval_similarity,gold_escalate,predicted_escalate,gold_escalation_reason,error_type,confidence_gap
22,@AmazonHelp It’s about 45 minutes to an hour away from me. Carrier is AMZL US,order_delivery,customer_service_complaint,0.1118827970646094,1.0,False,True,not_applicable,intent_misclassification,0.8881172029353906
10,"@AmazonHelp What repeat , what about my loses? It’s more than ₹4000",customer_service_complaint,subscription_prime,0.1141876941112783,1.0,True,True,customer_service_complaint,intent_misclassification,0.8858123058887217
187,.@AmazonHelp where’s Thursday night football tonight?? I know it’s #BillsVJets but still. It’s the principle.,digital_content,order_delivery,0.1146120504947864,0.9999999999999996,False,True,not_applicable,intent_misclassification,0.8853879495052136
140,@AmazonHelp There was no reason given! Order number is 114-0528110-0291469,order_delivery,payment_billing,0.1155363887690978,1.0,False,True,not_applicable,intent_misclassification,0.8844636112309022
58,"@AmazonHelp It is a movie not a TV series...OK..if someone had been watching it,would appreciate notification before content is removed midway,thanks!!",digital_content,product_order_issue,0.1155609045002033,1.0,False,True,not_applicable,intent_misclassification,0.8844390954997967
35,"@313536 @115821 Had I realized, I wouldn't have ordered....so yaaaaa",product_order_issue,order_delivery,0.1162078651726462,1.0,False,True,not_applicable,intent_misclassification,0.8837921348273539
142,#Amazon-Alexa ist Gard angekommen 🤔😉,device_technical,other_non_actionable,0.1169392248804989,1.0,False,True,not_applicable,intent_misclassification,0.8830607751195011
110,@115830 Please look into Your packaging services.,product_order_issue,order_delivery,0.1176652115408992,1.0,False,True,not_applicable,intent_misclassification,0.8823347884591008
119,"@AmazonHelp I have done the suggested steps on the Amazon Page itself ..  Left the Feedback, what else is required?",customer_service_complaint,subscription_prime,0.1181566335413607,1.0000000000000002,True,True,customer_service_complaint,intent_misclassification,0.8818433664586393
147,"@AmazonHelp in real world why so much delay ? 

that is why you guys do fail the transaction at your end. #ThreeTimeFaild https://t.co/IncuXCt7ON",payment_billing,order_delivery,0.11879700022307,1.0,True,True,high_risk_or_account_issue,intent_misclassification,0.88120299977693
27,アマゾンプライム会員になっちゃった,subscription_prime,other_non_actionable,0.1189367552825832,0.0,False,True,not_applicable,intent_misclassification,0.8810632447174168
45,@AmazonHelp I bought SOW gold Edition and i receive Code for Expansion Pass but apparently not.. literally it's another standard SOW Game,digital_content,order_delivery,0.1195724999257365,1.0,False,True,not_applicable,intent_misclassification,0.8804275000742635
127,@AmazonHelp It is. In fact there is only 2 more left https://t.co/f3Bbu1JSLc,other_non_actionable,product_order_issue,0.1201935453728525,1.0,False,True,not_applicable,intent_misclassification,0.8798064546271475
197,@115850 where is this No cost option? https://t.co/6BCpHOQAoA,payment_billing,product_order_issue,0.1211849238317237,1.0,True,True,high_risk_or_account_issue,intent_misclassification,0.8788150761682763
36,"@AmazonHelp Yes, everything else streams fine. Just CBS is a problem.",digital_content,device_technical,0.122154082001197,1.0,False,True,not_applicable,intent_misclassification,0.877845917998803
78,@AmazonHelp El producto es vendido x amazon el dia 15 d este mes y ademas d llegar con días d retraso ni siquiera va a la dirección correcta!,order_delivery,other_non_actionable,0.1222651831381645,1.0,False,True,not_applicable,intent_misclassification,0.8777348168618355
178,"@AmazonHelp Hi, after leaving me on D phone on hold 4 over 20 minutes, she dropped the my call &amp; never bothered to return to let me know but insisted my delivery will come by 9pm last night even though I repeated “nobody delivers round here at that time”!! Really upset about her attitude",order_delivery,returns_refunds,0.1244742878484782,1.0000000000000002,True,True,repeated_unresolved_issue,intent_misclassification,0.8755257121515219
143,@AmazonHelp Management of what? What is HR?,other_non_actionable,subscription_prime,0.124542590275609,1.0,False,True,not_applicable,intent_misclassification,0.875457409724391
180,"@AmazonHelp I called the number you gave me Monday, they put my claim through and said I would have an email in 24 hours, it is now well past that and I’ve had no contact since. To clarify, my house is still damaged, I still have half a letter box and amazon haven’t done anything https://t.co/aT2byOV1gY",customer_service_complaint,returns_refunds,0.125641012759492,0.9999999999999992,True,True,customer_service_complaint,intent_misclassification,0.874358987240508
183,"@169994 So, this was delicious! Is this something that will be available in the future or somewhere else? Must. have.",product_order_issue,returns_refunds,0.1258713555551491,0.9999999999999998,False,True,not_applicable,intent_misclassification,0.8741286444448508
172,@115821 That the subscription is cancelled successfully,subscription_prime,subscription_prime,0.1186288493510203,1.0000000000000002,False,True,not_applicable,escalation_error,
112,@AmazonHelp I don’t think I have even received one yet.,order_delivery,order_delivery,0.1223812767548113,1.0,False,True,not_applicable,escalation_error,
169,"@AmazonHelp 5 mal mindestens, ohne Stellungnahme des Fahrer oder der verantwortlichen Dispo tut soch wohl nichts. Sind arogante Fahrer, man merkt direkt dass die im Auftrag von @124285 fahren aber nicht dort direkt sind. Direkte Fahrer kommen am Tage, dass läuft suppi.",order_delivery,order_delivery,0.1232693982525645,0.9999999999999996,False,True,not_applicable,escalation_error,
13,"@115850 guys, bluedart is RIP in my area, I had to delegate and be the vent box for 30 pissed employees before I could get my cable, and that's when I was apologized to and assured that you will take care, GUESS WHAT? didn't happen :| why you do this fam.",order_delivery,customer_service_complaint,0.1265545844059537,1.0000000000000002,False,True,not_applicable,escalation_error,
96,@AmazonHelp immer noch nichts ... was würde bushido tun?,order_delivery,order_delivery,0.1268578804022224,1.0,False,True,not_applicable,escalation_error,
99,"@AmazonHelp I've been a loyal prime customer for years. Currently, I'm being given the run-around on the return of a $700 cookware set. I would really appreciate some help, as I'm furious at your customer service.",returns_refunds,returns_refunds,0.1274389300347188,1.0,False,True,not_applicable,escalation_error,
